region,year,material,tonnes
Falkirk,2011,Spent solvents,753
South Ayrshire,2011,Spent solvents,2
Aberdeenshire,2011,Spent solvents,1095
Renfrewshire,2011,Spent solvents,48
East Renfrewshire,2011,Spent solvents,0
Fife,2011,Spent solvents,72
City of Edinburgh,2011,Spent solvents,3280
East Dunbartonshire,2011,Spent solvents,1
North Ayrshire,2011,Spent solvents,34
Offshore,2011,Spent solvents,129
Glasgow City,2011,Spent solvents,163
North Lanarkshire,2011,Spent solvents,18
East Lothian,2011,Spent solvents,57
Argyll and Bute,2011,Spent solvents,34
Angus,2011,Spent solvents,83
Dumfries and Galloway,2011,Spent solvents,39
Shetland Islands,2011,Spent solvents,4
Stirling,2011,Spent solvents,219
South Lanarkshire,2011,Spent solvents,28
Perth and Kinross,2011,Spent solvents,32
East Ayrshire,2011,Spent solvents,13
Outer Hebrides,2011,Spent solvents,0
Inverclyde,2011,Spent solvents,34
Highland,2011,Spent solvents,1
Midlothian,2011,Spent solvents,3
Orkney Islands,2011,Spent solvents,0
Aberdeen City,2011,Spent solvents,962
Scottish Borders,2011,Spent solvents,1
West Dunbartonshire,2011,Spent solvents,2
Clackmannanshire,2011,Spent solvents,0
Moray,2011,Spent solvents,1
West Lothian,2011,Spent solvents,361
Dundee City,2011,Spent solvents,15
Unknown,2011,Spent solvents,45881
Falkirk,2011,"Acid, alkaline or saline wastes",211
South Ayrshire,2011,"Acid, alkaline or saline wastes",39
Aberdeenshire,2011,"Acid, alkaline or saline wastes",331
Renfrewshire,2011,"Acid, alkaline or saline wastes",131
East Renfrewshire,2011,"Acid, alkaline or saline wastes",1
Fife,2011,"Acid, alkaline or saline wastes",133
City of Edinburgh,2011,"Acid, alkaline or saline wastes",28
East Dunbartonshire,2011,"Acid, alkaline or saline wastes",1
North Ayrshire,2011,"Acid, alkaline or saline wastes",26
Offshore,2011,"Acid, alkaline or saline wastes",8
Glasgow City,2011,"Acid, alkaline or saline wastes",1270
North Lanarkshire,2011,"Acid, alkaline or saline wastes",1889
East Lothian,2011,"Acid, alkaline or saline wastes",15
Argyll and Bute,2011,"Acid, alkaline or saline wastes",17
Angus,2011,"Acid, alkaline or saline wastes",374
Dumfries and Galloway,2011,"Acid, alkaline or saline wastes",84
Shetland Islands,2011,"Acid, alkaline or saline wastes",0
Stirling,2011,"Acid, alkaline or saline wastes",4
