business-sector,year,material,tonnes
Manufacture of food and beverage products,2011,Spent solvents,54
"Agriculture, forestry and fishing",2011,Spent solvents,20
Water industry,2011,Spent solvents,88
Mining and quarrying,2011,Spent solvents,1044
Other manufacturing,2011,Spent solvents,317
Commerce,2011,Spent solvents,246
Power industry,2011,Spent solvents,123
Manufacture of wood products,2011,Spent solvents,870
Waste management,2011,Spent solvents,20
"Manufacture of chemicals, plastics and pharmaceuticals",2011,Spent solvents,50583
Manufacture of food and beverage products,2011,"Acid, alkaline or saline wastes",2
"Agriculture, forestry and fishing",2011,"Acid, alkaline or saline wastes",2
Water industry,2011,"Acid, alkaline or saline wastes",30
Mining and quarrying,2011,"Acid, alkaline or saline wastes",263
Other manufacturing,2011,"Acid, alkaline or saline wastes",3133
Commerce,2011,"Acid, alkaline or saline wastes",38
Power industry,2011,"Acid, alkaline or saline wastes",3
Manufacture of wood products,2011,"Acid, alkaline or saline wastes",494
Waste management,2011,"Acid, alkaline or saline wastes",2
"Manufacture of chemicals, plastics and pharmaceuticals",2011,"Acid, alkaline or saline wastes",2204
Manufacture of food and beverage products,2011,Used oils,53
"Agriculture, forestry and fishing",2011,Used oils,5191
Water industry,2011,Used oils,125
Mining and quarrying,2011,Used oils,18140
Other manufacturing,2011,Used oils,7721
Commerce,2011,Used oils,32860
Power industry,2011,Used oils,962
Manufacture of wood products,2011,Used oils,281
Waste management,2011,Used oils,1
"Manufacture of chemicals, plastics and pharmaceuticals",2011,Used oils,1724
Manufacture of food and beverage products,2011,Chemical wastes,51141
"Agriculture, forestry and fishing",2011,Chemical wastes,33151
Water industry,2011,Chemical wastes,1090
Mining and quarrying,2011,Chemical wastes,39101
Other manufacturing,2011,Chemical wastes,16919
Commerce,2011,Chemical wastes,19340
Power industry,2011,Chemical wastes,1874
Manufacture of wood products,2011,Chemical wastes,6096
Waste management,2011,Chemical wastes,130
"Manufacture of chemicals, plastics and pharmaceuticals",2011,Chemical wastes,14289
Manufacture of food and beverage products,2011,Industrial effluent sludges,806
"Agriculture, forestry and fishing",2011,Industrial effluent sludges,64
Water industry,2011,Industrial effluent sludges,302
Mining and quarrying,2011,Industrial effluent sludges,42117
Other manufacturing,2011,Industrial effluent sludges,3864
Commerce,2011,Industrial effluent sludges,623
Power industry,2011,Industrial effluent sludges,1206
Manufacture of wood products,2011,Industrial effluent sludges,1454
Waste management,2011,Industrial effluent sludges,0
"Manufacture of chemicals, plastics and pharmaceuticals",2011,Industrial effluent sludges,48
Manufacture of food and beverage products,2011,Sludges and liquid wastes from waste treatment,0
"Agriculture, forestry and fishing",2011,Sludges and liquid wastes from waste treatment,0
Water industry,2011,Sludges and liquid wastes from waste treatment,0
Mining and quarrying,2011,Sludges and liquid wastes from waste treatment,0
Other manufacturing,2011,Sludges and liquid wastes from waste treatment,0
Commerce,2011,Sludges and liquid wastes from waste treatment,13
Power industry,2011,Sludges and liquid wastes from waste treatment,0
Manufacture of wood products,2011,Sludges and liquid wastes from waste treatment,0
Waste management,2011,Sludges and liquid wastes from waste treatment,0
"Manufacture of chemicals, plastics and pharmaceuticals",2011,Sludges and liquid wastes from waste treatment,164
Manufacture of food and beverage products,2011,Health care and biological wastes,0
"Agriculture, forestry and fishing",2011,Health care and biological wastes,0
Water industry,2011,Health care and biological wastes,0
Mining and quarrying,2011,Health care and biological wastes,12
Other manufacturing,2011,Health care and biological wastes,0
Commerce,2011,Health care and biological wastes,31145
Power industry,2011,Health care and biological wastes,0
Manufacture of wood products,2011,Health care and biological wastes,0
Waste management,2011,Health care and biological wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2011,Health care and biological wastes,0
Manufacture of food and beverage products,2011,"Metallic wastes, ferrous",14079
