region,year,quarter,yyyy-MM-dd,material,tonnes-weight,tonnes-co2e
Stirling,2015,3,2015-09-30,Glass (colour separated - assumed remelt),0.275053,0.24606241379999997
Stirling,2014,2,2014-06-30,Glass (colour separated - assumed remelt),0,0.0
Stirling,2013,1,2013-03-31,Books,0.0463,0.0710705
Stirling,2015,3,2015-09-30,Small WEEE,0.273932,0.486777164
Stirling,2015,4,2015-12-31,Textiles & Footwear,0.038595,0.88235889
Stirling,2018,2,2018-06-30,Glass (Mixed - assumed go to aggregates),0.026853999999999996,0.024587522399999994
Stirling,2019,2,2019-06-30,Food & Drink,0.00715,0.02918031974
Stirling,2018,3,2018-09-30,Plastics,0.161286,0.5441789640000001
Stirling,2014,2,2014-06-30,Wood,0.00347,0.00505926
Stirling,2017,2,2017-06-30,Books,0.12347999999999999,0.11854079999999999
Stirling,2014,2,2014-06-30,Small WEEE,0.005678,0.010089806000000001
Stirling,2014,3,2014-09-30,Scrap Metal,0.079314,0.2160079660000000004
Stirling,2016,3,2016-09-30,Mixed Cans,0.0005,0.00327
Stirling,2014,1,2014-03-31,Textiles & Footwear,4.093989999999999998,92.5651138999999959
Stirling,2014,4,2014-12-31,Glass (Mixed - assumed go to aggregates),0,0.0
Stirling,2014,4,2014-12-31,Mixed Cans,0,0.0
Stirling,2019,4,2019-12-31,Mixed Cans,0,0.0
Stirling,2016,1,2016-03-31,Mixed Cans,0,0.0
Stirling,2013,1,2013-03-31,Aluminium,0.0117,0.11542049999999999
Stirling,2017,1,2017-03-31,WEEE (Fridges/Freezers),0,0.0
Stirling,2017,4,2017-12-31,Plastics,0.006786,0.022895964
Stirling,2017,1,2017-03-31,Mixed Cans,0,0.0
Stirling,2015,2,2015-06-30,Scrap Metal,0.009958,0.02717985799999999999
Stirling,2018,1,2018-03-31,Scrap Metal,0.006817999999999999,0.0212868691999999985
Stirling,2019,2,2019-06-30,Glass (Mixed - assumed go to aggregates),0.048078,0.04403944800000001
Stirling,2015,3,2015-09-30,Mixed Cans,0.000845,0.0055263
Stirling,2017,2,2017-06-30,Paper & Cardboard,0.00333,0.0031967999999999996
Stirling,2013,1,2013-03-31,Wood,0,0.0
Stirling,2013,2,2013-06-30,Aluminium,0.22573,2.22682645
Stirling,2013,1,2013-03-31,Food & Drink,0.0113,0.045655222282660205
Stirling,2015,2,2015-06-30,Small WEEE,0.004542,0.008071134
Stirling,2017,4,2017-12-31,Food & Drink,0.005267,0.021494627
Stirling,2019,4,2019-12-31,Aluminium,0.04492,0.57922579136
Stirling,2015,4,2015-12-31,Books,0.033985,0.051623214999999995
Stirling,2018,1,2018-03-31,Paper & Cardboard,0.003622,0.0034771199999999998
Stirling,2018,1,2018-03-31,Mixed Cans,0.0013539999999999999,0.00885516
Stirling,2017,3,2017-09-30,Small WEEE,0.21998000000000002,0.39189437
Stirling,2017,3,2017-09-30,Paper & Cardboard,0.08295400000000004,0.07963584000000003
Stirling,2015,1,2015-03-31,Paper & Cardboard,0.0082,0.012586999999999998
Stirling,2016,4,2016-12-31,Plastics,0.01717,0.05793158000000001
Stirling,2016,3,2016-09-30,Glass (Mixed - assumed go to aggregates),0.268367,0.2457168252
Stirling,2016,4,2016-12-31,Batteries,0,0.0
Stirling,2015,2,2015-06-30,plastic bottles (Average rigid plastics used - HDPE and PET),0.052364,0.17358666
Stirling,2013,1,2013-03-31,Small WEEE,0.0133,0.0236341
Stirling,2015,2,2015-06-30,Books,0.114549,0.175832715
Stirling,2015,3,2015-09-30,Aluminium,0.368593,4.767013269000001
Stirling,2014,4,2014-12-31,Small WEEE,0.017274,0.030695898000000003
Stirling,2014,2,2014-06-30,plastic bottles (Average rigid plastics used - HDPE and PET),0.018826,0.062408190000000005
Stirling,2016,2,2016-06-30,Paper & Cardboard,0.066125,0.10698278
Stirling,2019,2,2019-06-30,Mixed Cans,0,0.0
Stirling,2015,2,2015-06-30,Large WEEE (excluding fluorescent tubes),0.0026,0.0033358000000000003
Stirling,2015,4,2015-12-31,Glass (Mixed - assumed go to aggregates),0,0.0
Stirling,2015,2,2015-06-30,Mixed Cans,0.00003,0.00014397
Stirling,2014,2,2014-06-30,Aluminium,0.00008,0.0007892
Stirling,2016,3,2016-09-30,WEEE (Fridges/Freezers),0,0.0
Stirling,2016,3,2016-09-30,Plastics,0.297724,1.0045207760000001
Stirling,2018,3,2018-09-30,Small WEEE,0.237068,0.42233664200000004
Stirling,2015,4,2015-12-31,Scrap Metal,0.000505,0.001493285
Stirling,2014,3,2014-09-30,plastic bottles (Average rigid plastics used - HDPE and PET),0.24836,0.8233134000000001
Stirling,2013,2,2013-06-30,Books,0.0923,0.1416805
Stirling,2019,2,2019-06-30,Aggregates,0.09659999999999997,0.0007546681799999997
Stirling,2016,1,2016-03-31,Wood,0.002888,0.003543576
Stirling,2015,3,2015-09-30,Textiles & Footwear,1.120852,25.624918424
Stirling,2018,2,2018-06-30,Textiles & Footwear,0.23068999999999997,5.15153839
Stirling,2014,3,2014-09-30,Textiles & Footwear,1.2785740000000001,28.908558139999999
Stirling,2017,3,2017-09-30,Aggregates,0.4682800000000001,0.00515108
Stirling,2019,2,2019-06-30,WEEE (Fridges/Freezers),0,0.0
Stirling,2016,1,2016-03-31,Aluminium,0.018383,0.247876372
Stirling,2016,3,2016-09-30,Wood,0.113601,0.051802056
Stirling,2019,4,2019-12-31,WEEE (Fridges/Freezers),0,0.0
Stirling,2015,1,2015-03-31,Scrap Metal,0.019126,0.05223961400000000496
Stirling,2016,4,2016-12-31,Glass (Mixed - assumed go to aggregates),0.00124,0.001135344
Stirling,2016,4,2016-12-31,WEEE (Fridges/Freezers),0,0.0
Stirling,2013,1,2013-03-31,Glass (colour separated - assumed remelt),0.0041,0.0036694999999999998
Stirling,2018,2,2018-06-30,WEEE (Fridges/Freezers),0,0.0
Stirling,2018,4,2018-12-31,Textiles & Footwear,0.33468199999999996,7.473783741999999
Stirling,2018,2,2018-06-30,Scrap Metal,0.02289,0.067912341
Stirling,2015,1,2015-03-31,Aggregates (rubble),0.070415,0.00056332
Stirling,2017,2,2017-06-30,Batteries,0,0.0
Stirling,2018,3,2018-09-30,Food & Drink,0.3541840000000001,1.4454249040000002
Stirling,2014,3,2014-09-30,Aluminium,0.361534,3.56413691
Stirling,2015,2,2015-06-30,Wood,0.000961,0.001401138
Stirling,2014,4,2014-12-31,Aggregates (rubble),0.02027,0.00016216
Stirling,2018,4,2018-12-31,WEEE (Fridges/Freezers),0.005638,0.021623801965
Stirling,2018,4,2018-12-31,Glass (Mixed - assumed go to aggregates),0.014580000000000002,0.01335528
Stirling,2013,1,2013-03-31,plastic bags (average plastic film used - LLDPE),0,0.0
Stirling,2016,2,2016-06-30,Scrap Metal,0.01544,0.049372329999999997
Stirling,2014,3,2014-09-30,Wood,0.034232,0.049910256000000004
Stirling,2019,1,2019-03-31,Food & Drink,0.023839999999999996,0.09729494022399999
Stirling,2017,1,2017-03-31,Plastics,0.018820000000000004,0.06349868000000002
Stirling,2014,2,2014-06-30,Books,0.049905,0.076604175
Stirling,2015,1,2015-03-31,Books,0.05217400000000001,0.08008709
Stirling,2015,2,2015-06-30,Paper & Cardboard,0.020379,0.032367072999999999
