material-L1,material-L2,phase,stream,idealStream,stratum,kgPerHhPerWk
Glass waste,Green container glass,1,grey bin,recycling site,urban £,0.068
Glass waste,Green container glass,1,grey bin,recycling site,urban ££,0.20270270270270271
Glass waste,Green container glass,1,grey bin,recycling site,urban £££,0.1276595744680851
Glass waste,Green container glass,1,grey bin,recycling site,rural £/££,0.08076923076923077
Glass waste,Green container glass,1,grey bin,recycling site,rural £££,0.06274509803921569
Glass waste,Green container glass,1,recycling bin,recycling site,urban £,0.0
Glass waste,Green container glass,1,recycling bin,recycling site,urban ££,0.002702702702702703
Glass waste,Green container glass,1,recycling bin,recycling site,urban £££,0.05957446808510638
Glass waste,Green container glass,1,recycling bin,recycling site,rural £/££,0.0019230769230769232
Glass waste,Green container glass,1,recycling bin,recycling site,rural £££,0.0
Glass waste,Green container glass,2,grey bin,recycling site,urban £,0.04081632653061224
Glass waste,Green container glass,2,grey bin,recycling site,urban ££,0.11578947368421054
Glass waste,Green container glass,2,grey bin,recycling site,urban £££,0.15
Glass waste,Green container glass,2,grey bin,recycling site,rural £/££,0.10816326530612244
Glass waste,Green container glass,2,grey bin,recycling site,rural £££,0.08163265306122448
Glass waste,Green container glass,2,recycling bin,recycling site,urban £,0.0
Glass waste,Green container glass,2,recycling bin,recycling site,urban ££,0.028947368421052635
Glass waste,Green container glass,2,recycling bin,recycling site,urban £££,0.0
Glass waste,Green container glass,2,recycling bin,recycling site,rural £/££,0.01020408163265306
Glass waste,Green container glass,2,recycling bin,recycling site,rural £££,0.0
Glass waste,Brown container glass,1,grey bin,recycling site,urban £,0.04
Glass waste,Brown container glass,1,grey bin,recycling site,urban ££,0.06756756756756757
Glass waste,Brown container glass,1,grey bin,recycling site,urban £££,0.01276595744680851
Glass waste,Brown container glass,1,grey bin,recycling site,rural £/££,0.12884615384615386
Glass waste,Brown container glass,1,grey bin,recycling site,rural £££,0.0196078431372549
Glass waste,Brown container glass,1,recycling bin,recycling site,urban £,0.0
Glass waste,Brown container glass,1,recycling bin,recycling site,urban ££,0.0
Glass waste,Brown container glass,1,recycling bin,recycling site,urban £££,0.0
Glass waste,Brown container glass,1,recycling bin,recycling site,rural £/££,0.01346153846153846
Glass waste,Brown container glass,1,recycling bin,recycling site,rural £££,0.0
Glass waste,Brown container glass,2,grey bin,recycling site,urban £,0.18571428571428572
Glass waste,Brown container glass,2,grey bin,recycling site,urban ££,0.02368421052631579
Glass waste,Brown container glass,2,grey bin,recycling site,urban £££,0.024
Glass waste,Brown container glass,2,grey bin,recycling site,rural £/££,0.08571428571428572
Glass waste,Brown container glass,2,grey bin,recycling site,rural £££,0.05306122448979592
Glass waste,Brown container glass,2,recycling bin,recycling site,urban £,0.02040816326530612
Glass waste,Brown container glass,2,recycling bin,recycling site,urban ££,0.018421052631578946
Glass waste,Brown container glass,2,recycling bin,recycling site,urban £££,0.0
Glass waste,Brown container glass,2,recycling bin,recycling site,rural £/££,0.014285714285714285
Glass waste,Brown container glass,2,recycling bin,recycling site,rural £££,0.0020408163265306124
Glass waste,Clear container glass,1,grey bin,recycling site,urban £,0.344
Glass waste,Clear container glass,1,grey bin,recycling site,urban ££,0.3324324324324325
Glass waste,Clear container glass,1,grey bin,recycling site,urban £££,0.23404255319148937
Glass waste,Clear container glass,1,grey bin,recycling site,rural £/££,0.375
Glass waste,Clear container glass,1,grey bin,recycling site,rural £££,0.21176470588235297
Glass waste,Clear container glass,1,recycling bin,recycling site,urban £,0.008
Glass waste,Clear container glass,1,recycling bin,recycling site,urban ££,0.008108108108108109
Glass waste,Clear container glass,1,recycling bin,recycling site,urban £££,0.02553191489361702
Glass waste,Clear container glass,1,recycling bin,recycling site,rural £/££,0.04807692307692308
Glass waste,Clear container glass,1,recycling bin,recycling site,rural £££,0.0
Glass waste,Clear container glass,2,grey bin,recycling site,urban £,0.33469387755102037
Glass waste,Clear container glass,2,grey bin,recycling site,urban ££,0.31842105263157894
Glass waste,Clear container glass,2,grey bin,recycling site,urban £££,0.33
Glass waste,Clear container glass,2,grey bin,recycling site,rural £/££,0.37959183673469393
