region,year,material,management,tonnes
West Lothian,2011,Animal and mixed food waste,Landfilled,0
East Renfrewshire,2011,Animal and mixed food waste,Landfilled,0
Stirling,2011,Animal and mixed food waste,Other Diversion,0
Moray,2011,Animal and mixed food waste,Landfilled,0
Stirling,2011,Animal and mixed food waste,Landfilled,0
Renfrewshire,2011,"Metallic wastes, non-ferrous",Other Diversion,0
Aberdeenshire,2011,Animal and mixed food waste,Recycled,393
Midlothian,2011,Animal and mixed food waste,Landfilled,0
East Renfrewshire,2011,Animal and mixed food waste,Recycled,2509
Midlothian,2011,Animal and mixed food waste,Other Diversion,0
Stirling,2011,Animal and mixed food waste,Recycled,651
Fife,2011,"Metallic wastes, non-ferrous",Recycled,85
Glasgow City,2011,Animal and mixed food waste,Other Diversion,0
North Ayrshire,2011,Animal and mixed food waste,Recycled,0
East Ayrshire,2011,"Metallic wastes, non-ferrous",Other Diversion,0
Outer Hebrides,2011,"Metallic wastes, non-ferrous",Other Diversion,0
City of Edinburgh,2011,"Metallic wastes, non-ferrous",Recycled,103
East Dunbartonshire,2011,"Metallic wastes, non-ferrous",Recycled,0
Outer Hebrides,2011,Animal and mixed food waste,Landfilled,0
Renfrewshire,2011,Animal and mixed food waste,Landfilled,0
Aberdeenshire,2011,Animal and mixed food waste,Landfilled,0
Angus,2011,Animal and mixed food waste,Landfilled,0
Clackmannanshire,2011,Animal and mixed food waste,Other Diversion,0
North Lanarkshire,2011,Animal and mixed food waste,Landfilled,0
Highland,2011,Animal and mixed food waste,Landfilled,0
East Renfrewshire,2011,Animal and mixed food waste,Other Diversion,19
Angus,2011,Animal and mixed food waste,Recycled,6
West Dunbartonshire,2011,Animal and mixed food waste,Landfilled,0
Dumfries and Galloway,2011,Animal and mixed food waste,Recycled,0
East Lothian,2011,Animal and mixed food waste,Landfilled,0
Inverclyde,2011,Animal and mixed food waste,Other Diversion,0
Stirling,2011,"Metallic wastes, non-ferrous",Other Diversion,0
Outer Hebrides,2011,Animal and mixed food waste,Other Diversion,0
Inverclyde,2011,Animal and mixed food waste,Recycled,0
Highland,2011,Animal and mixed food waste,Other Diversion,1
Fife,2011,Animal and mixed food waste,Recycled,2666
Midlothian,2011,Animal and mixed food waste,Recycled,3
Aberdeenshire,2011,Animal and mixed food waste,Other Diversion,0
North Lanarkshire,2011,Animal and mixed food waste,Other Diversion,5
Moray,2011,Animal and mixed food waste,Recycled,788
West Lothian,2011,Animal and mixed food waste,Other Diversion,0
South Lanarkshire,2011,Animal and mixed food waste,Landfilled,0
