material,ewc-code
"Acid, alkaline or saline wastes",11 01 06*
"Acid, alkaline or saline wastes",06 01 01*
"Acid, alkaline or saline wastes",06 01 02*
"Acid, alkaline or saline wastes",06 01 04*
"Acid, alkaline or saline wastes",06 01 06*
"Acid, alkaline or saline wastes",06 02 01*
"Acid, alkaline or saline wastes",06 02 04*
"Acid, alkaline or saline wastes",06 03 13*
"Acid, alkaline or saline wastes",11 01 08*
"Acid, alkaline or saline wastes",11 01 05*
"Acid, alkaline or saline wastes",16 09 02*
"Acid, alkaline or saline wastes",06 01 03*
"Acid, alkaline or saline wastes",06 01 05*
"Acid, alkaline or saline wastes",06 02 05*
"Acid, alkaline or saline wastes",06 04 04*
"Acid, alkaline or saline wastes",06 04 05*
"Acid, alkaline or saline wastes",06 06 03
"Acid, alkaline or saline wastes",08 03 16*
"Acid, alkaline or saline wastes",09 01 01*
"Acid, alkaline or saline wastes",09 01 02*
"Acid, alkaline or saline wastes",11 01 07*
"Acid, alkaline or saline wastes",11 01 13*
"Acid, alkaline or saline wastes",11 03 02*
"Acid, alkaline or saline wastes",16 09 01*
"Acid, alkaline or saline wastes",20 01 14*
"Acid, alkaline or saline wastes",20 01 15*
"Acid, alkaline or saline wastes",06 02 03*
"Acid, alkaline or saline wastes",06 03 11*
"Acid, alkaline or saline wastes",06 03 14
"Acid, alkaline or saline wastes",06 03 15*
"Acid, alkaline or saline wastes",06 03 16
"Acid, alkaline or saline wastes",11 01 14
"Acid, alkaline or saline wastes",16 06 06*
"Acid, alkaline or saline wastes",09 01 03*
"Acid, alkaline or saline wastes",09 01 04*
"Acid, alkaline or saline wastes",06 04 03*
"Acid, alkaline or saline wastes",09 01 05*
"Acid, alkaline or saline wastes",10 01 09*
Animal and mixed food waste,20 01 08
Animal and mixed food waste,02 01 02
Animal and mixed food waste,02 02 02
Animal and mixed food waste,02 02 03
Animal and mixed food waste,02 02 01
Animal and mixed food waste,20 01 25
Animal and mixed food waste,02 05 01
Animal and mixed food waste,19 08 09
Animal and mixed food waste,02 03 02
"Animal faeces, urine and manure",02 01 06
Batteries and accumulators wastes,20 01 33*
Batteries and accumulators wastes,16 06 01*
Batteries and accumulators wastes,20 01 34
Batteries and accumulators wastes,16 06 02*
Batteries and accumulators wastes,16 06 04
Batteries and accumulators wastes,16 06 05
Batteries and accumulators wastes,16 06 03*
Chemical wastes,13 05 03*
Chemical wastes,08 02 01
Chemical wastes,08 03 12*
Chemical wastes,15 02 02*
Chemical wastes,16 05 06*
Chemical wastes,19 02 07*
Chemical wastes,19 01 10*
Chemical wastes,13 05 02*
Chemical wastes,16 01 13*
Chemical wastes,16 05 05
Chemical wastes,13 05 07*
Chemical wastes,13 05 08*
Chemical wastes,07 02 15
Chemical wastes,15 01 10*
Chemical wastes,13 04 03*
Chemical wastes,13 07 01*
Chemical wastes,08 01 11*
Chemical wastes,08 01 12
Chemical wastes,08 01 17*
Chemical wastes,08 01 21*
Chemical wastes,08 03 08
Chemical wastes,08 03 18
Chemical wastes,08 04 09*
Chemical wastes,08 04 10
Chemical wastes,08 05 01*
Chemical wastes,11 01 11*
Chemical wastes,13 05 01*
Chemical wastes,13 07 03*
Chemical wastes,15 02 03
Chemical wastes,16 01 14*
Chemical wastes,16 05 04*
Chemical wastes,16 05 07*
Chemical wastes,16 05 08*
Chemical wastes,16 05 09
Chemical wastes,16 07 09*
Chemical wastes,16 09 03*
Chemical wastes,18 01 09
Chemical wastes,20 01 19*
Chemical wastes,20 01 27*
Chemical wastes,20 01 29*
Chemical wastes,07 02 10*
Chemical wastes,08 01 13*
Chemical wastes,13 07 02*
Chemical wastes,16 01 15
Chemical wastes,05 01 06*
Chemical wastes,06 13 02*
Chemical wastes,07 01 01*
Chemical wastes,07 03 01*
Chemical wastes,07 04 01*
Chemical wastes,07 04 13*
Chemical wastes,07 05 01*
Chemical wastes,07 05 10*
Chemical wastes,07 05 13*
Chemical wastes,07 06 01*
Chemical wastes,07 06 08*
Chemical wastes,07 07 01*
Chemical wastes,07 07 10*
Chemical wastes,08 01 14
Chemical wastes,08 01 15*
Chemical wastes,08 01 20
Chemical wastes,08 03 14*
Chemical wastes,08 04 13*
Chemical wastes,08 04 16
Chemical wastes,11 01 16*
Chemical wastes,11 01 98*
Chemical wastes,13 08 02*
Chemical wastes,16 08 06*
Chemical wastes,16 09 04*
