name,description,supplied-date,max-date-in-data,creator,supplier,supply-url,licence,licence-url,notes,count
business-waste-by-region,The categorised quantities of the waste generated by industry & commerce.,2021-01-18,2018-12-31,SEPA,SEPA,https://www.sepa.org.uk/environment/waste/waste-data/waste-data-reporting/business-waste-data,OGL v2.0,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Published as a series of downloadable Excel files.,8976
meta,Meta level information.,-,-,DCS,DCS,file:///,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,,21
ace-furniture-avg-weight,The per-furniture-category average weights of items sold.,2021-05-13,2019-08-31,Alloa Community Enterprises,Alloa Community Enterprises,file:///,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Supplied as an Excel spreadsheet.,164
household-waste-analysis,(An anonymised subset of) An analysis of sampled bin collection contents.,2020-10-07,2014-03-14,ZWS,ZWS,file:///,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Supplied as an Excel spreadsheet.,1440
business-waste-by-sector,The categorised quantities of the waste generated by industry & commerce.,2021-01-18,2018-12-31,SEPA,SEPA,https://www.sepa.org.uk/environment/waste/waste-data/waste-data-reporting/business-waste-data,OGL v2.0,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Published as a series of downloadable Excel files.,2640
co2e-multiplier,Per-material weight-multipliers to calaculate CO2e amounts. This data has been copied from section 6.2 of The Scottish Carbon Metric.,2021-07-12,-,ZWS,ZWS,https://www.zerowastescotland.org.uk/sites/default/files/The%20Scottish%20Carbon%20Metric.pdf,OGL v3.0,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Published as a PDF document.,37
stirling-community-food-footfall,The per-day number of people visiting the store.,2021-04-30,2021-04-14,Transition Stirling,Transition Stirling,file:///,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Supplied as an Excel spreadsheet.,360
region,Scottish council areas with UK government codes and Wikidata IDs.,-,-,DCS,DCS,file:///,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Choose to use the common name for each region.,34
household-co2e,The carbon impact of the waste generated by household.,2021-01-30,2019-12-31,SEPA,SEPA,https://www.environment.gov.scot/data/data-analysis/household-waste,OGL v2.0,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,"Published through a web-based data tool, the data can be downloaded as a CSV file.",288
fairshare,The per-year per-quarter per-material amount (weight and CO2e) of reused items.,2021-05-26,2019-12-31,The Fair Share,The Fair Share,file:///,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Supplied as an Excel spreadsheet.,376
bin-collection,The categorised quantities of the waste collected from household bins.,2021-09-23,2021-08-31,Stirling council,Stirling council,https://data.stirling.gov.uk/dataset/waste-management,OGL v3.0,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Published through a web-based data tool (CKAN), the data can be downloaded as CSV files.",145
household,Occupied residential dwelling counts. Useful for calculating per-household amounts.,2021-09-24,2020-12-31,NRS,statistics.gov.scot,http://statistics.gov.scot/data/household-estimates,OGL v3.0,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Published as an RDF data cube, the data can be accessed via SPARQL.",320
household-waste,The categorised quantities of the ('managed') waste generated by household.,2021-09-24,2019-12-31,SEPA,statistics.gov.scot,http://statistics.gov.scot/data/household-waste,OGL v3.0,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Published as an RDF data cube, the data can be accessed via SPARQL.",19008
population,People counts. Useful for calculating per-citizen amounts.,2021-09-24,2019-12-31,NRS,statistics.gov.scot,http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries,OGL v3.0,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Published as an RDF data cube, the data can be accessed via SPARQL.",288
stirling-community-food-tonnes,The per-day amount of food flowing in/out of the organisation from/to partner organisations.,2021-04-30,2021-04-14,Transition Stirling,Transition Stirling,file:///,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Supplied as an Excel spreadsheet.,1350
