region,year,count
North Ayrshire,2011,138090
Dundee City,2011,147200
West Dunbartonshire,2011,90610
East Dunbartonshire,2011,105000
Clackmannanshire,2011,51500
Renfrewshire,2011,174700
Aberdeenshire,2011,253650
Outer Hebrides,2011,27690
Moray,2011,93470
Argyll and Bute,2011,88930
South Lanarkshire,2011,313900
Angus,2011,116200
City of Edinburgh,2011,477940
Orkney Islands,2011,21420
Scottish Borders,2011,113880
Highland,2011,232730
South Ayrshire,2011,112980
Inverclyde,2011,81220
East Lothian,2011,99920
Stirling,2011,90330
North Lanarkshire,2011,337720
Glasgow City,2011,593060
Perth and Kinross,2011,146850
Fife,2011,365300
East Ayrshire,2011,122690
Aberdeen City,2011,222460
West Lothian,2011,175300
East Renfrewshire,2011,90810
Midlothian,2011,83450
Falkirk,2011,156250
Dumfries and Galloway,2011,151410
Shetland Islands,2011,23240
Clackmannanshire,2012,51280
Midlothian,2012,84240
Shetland Islands,2012,23210
Outer Hebrides,2012,27560
South Ayrshire,2012,112920
Scottish Borders,2012,113720
Moray,2012,92930
City of Edinburgh,2012,482630
Renfrewshire,2012,174300
Aberdeenshire,2012,255560
Angus,2012,116220
East Ayrshire,2012,122730
East Renfrewshire,2012,91040
Argyll and Bute,2012,86910
North Ayrshire,2012,137570
Falkirk,2012,156800
Perth and Kinross,2012,147740
Dumfries and Galloway,2012,150840
Fife,2012,366210
Inverclyde,2012,80690
Glasgow City,2012,595070
Stirling,2012,91010
North Lanarkshire,2012,337890
South Lanarkshire,2012,314330
East Lothian,2012,100860
Highland,2012,232890
Dundee City,2012,147780
West Lothian,2012,176010
Orkney Islands,2012,21530
Aberdeen City,2012,224910
East Dunbartonshire,2012,105880
West Dunbartonshire,2012,90340
Aberdeen City,2013,227070
Midlothian,2013,84710
Dundee City,2013,148100
City of Edinburgh,2013,487460
Angus,2013,116290
Outer Hebrides,2013,27400
East Renfrewshire,2013,91530
Stirling,2013,91230
Falkirk,2013,157160
Perth and Kinross,2013,147770
Fife,2013,366900
Glasgow City,2013,596520
North Lanarkshire,2013,337780
South Ayrshire,2013,112870
North Ayrshire,2013,136940
Renfrewshire,2013,173890
East Dunbartonshire,2013,105840
Moray,2013,94360
Highland,2013,232930
East Lothian,2013,101390
Argyll and Bute,2013,88050
Orkney Islands,2013,21560
Dumfries and Galloway,2013,150280
Clackmannanshire,2013,51280
West Lothian,2013,176160
Aberdeenshire,2013,257770
South Lanarkshire,2013,314810
Inverclyde,2013,80340
Scottish Borders,2013,113880
West Dunbartonshire,2013,89800
Shetland Islands,2013,23200
East Ayrshire,2013,122430
East Ayrshire,2014,122130
Argyll and Bute,2014,87650
Scottish Borders,2014,114040
East Dunbartonshire,2014,106710
City of Edinburgh,2014,492610
Stirling,2014,91520
Moray,2014,94770
Highland,2014,233080
East Renfrewshire,2014,92410
North Ayrshire,2014,136480
Aberdeen City,2014,228920
Outer Hebrides,2014,27250
Shetland Islands,2014,23220
South Ayrshire,2014,112530
Angus,2014,116740
Clackmannanshire,2014,51190
East Lothian,2014,102090
