region,code,qid
Falkirk,,
South Ayrshire,,
Aberdeenshire,,
Aberdeen City,S12000033,Q62274582
Renfrewshire,,
Glasgow City,,
Orkney Islands,,
East Renfrewshire,,
City of Edinburgh,S12000036,Q2379199
Fife,S12000047,Q201149
East Dunbartonshire,,
North Ayrshire,,
Offshore,,
North Lanarkshire,,
East Lothian,,
Unknown,,
Argyll and Bute,,
Angus,,
Dumfries and Galloway,,
Shetland Islands,,
Stirling,S12000030,Q217838
South Lanarkshire,,
Dundee City,S12000042,Q2357511
Perth and Kinross,,
East Ayrshire,,
Inverclyde,,
Highland,,
Midlothian,,
Scottish Borders,,
West Dunbartonshire,,
Clackmannanshire,,
Moray,,
West Lothian,,
Outer Hebrides,S12000013,Q80967
