region,year,quarter,material,recycling?,missed-bin?,tonnes
Stirling,2018,3,Vegetal wastes,false,false,1.24
Stirling,2018,2,Household and similar wastes,false,true,315.64
Stirling,2018,2,Animal and mixed food waste,false,false,3202.32
Stirling,2018,2,Plastic wastes,true,true,27.86
Stirling,2018,4,Paper and cardboard wastes,true,true,41.26
Stirling,2018,4,Plastic wastes,true,false,419.36
Stirling,2018,3,Animal and mixed food waste,false,true,77.42
Stirling,2018,1,Household and similar wastes,false,true,533.70
Stirling,2018,4,Paper and cardboard wastes,true,false,775.28
Stirling,2018,1,Plastic wastes,true,false,439.26
Stirling,2018,3,Plastic wastes,true,true,7.46
Stirling,2018,2,Glass wastes,true,false,516.12
Stirling,2018,3,Glass wastes,true,true,4.38
Stirling,2018,3,Household and similar wastes,false,false,3235.30
Stirling,2018,4,Plastic wastes,true,true,6.04
Stirling,2018,4,Animal and mixed food waste,false,true,40.16
Stirling,2018,1,Glass wastes,true,true,58.94
Stirling,2018,3,Paper and cardboard wastes,true,false,981.44
Stirling,2018,2,Plastic wastes,true,false,475.34
Stirling,2018,1,Plastic wastes,true,true,31.94
Stirling,2018,3,Plastic wastes,true,false,439.98
Stirling,2018,1,Vegetal wastes,false,false,1.18
Stirling,2018,1,Paper and cardboard wastes,true,true,126.72
Stirling,2018,3,Paper and cardboard wastes,true,true,37.02
Stirling,2018,1,Household and similar wastes,false,false,3086.92
Stirling,2018,2,Glass wastes,true,true,41.36
Stirling,2018,1,Animal and mixed food waste,false,false,1224.16
Stirling,2018,1,Paper and cardboard wastes,true,false,732.10
Stirling,2018,2,Vegetal wastes,false,false,7.54
Stirling,2018,3,Household and similar wastes,false,true,157.98
Stirling,2018,2,Animal and mixed food waste,false,true,150.76
Stirling,2018,4,Household and similar wastes,false,true,133.90
Stirling,2018,2,Paper and cardboard wastes,true,true,63.40
Stirling,2018,1,Glass wastes,true,false,573.78
Stirling,2018,3,Animal and mixed food waste,false,false,3233.40
Stirling,2018,4,Glass wastes,true,false,552.18
Stirling,2018,4,Animal and mixed food waste,false,false,1819.26
Stirling,2018,4,Household and similar wastes,false,false,3786.84
Stirling,2018,3,Glass wastes,true,false,518.04
Stirling,2018,4,Glass wastes,true,true,0.92
Stirling,2018,2,Household and similar wastes,false,false,3595.26
Stirling,2018,1,Paper and cardboard wastes,false,true,1.32
Stirling,2018,1,Animal and mixed food waste,false,true,89.70
Stirling,2018,2,Paper and cardboard wastes,true,false,712.66
Stirling,2019,2,Household and similar wastes,false,true,34.12
Stirling,2019,2,Animal and mixed food waste,false,false,3219.10
Stirling,2019,4,Paper and cardboard wastes,true,true,3.08
Stirling,2019,4,Plastic wastes,true,false,426.22
Stirling,2019,3,Animal and mixed food waste,false,true,11.16
Stirling,2019,1,Household and similar wastes,false,true,87.00
Stirling,2019,4,Paper and cardboard wastes,true,false,796.46
Stirling,2019,1,Plastic wastes,true,false,491.94
