yyyy-MM-dd,io-direction,counter-party,tonnes
2020-03-28,in,Local supermarkets,0.3614
2020-03-28,out,Used as food,0.3562
2020-03-28,out,Used by individuals for compost,0.0052
2020-03-29,in,Local supermarkets,0.35363
2020-03-29,out,Used as food,0.35053
2020-03-29,out,Used by individuals for compost,0.0031
2020-03-30,in,Local supermarkets,0.60575
2020-03-30,in,Other,0.017
2020-03-30,out,Used as food,0.62180
2020-03-30,out,Used by individuals for compost,0.00095
2020-03-31,in,Local supermarkets,0.42564
2020-03-31,in,Other,0.0065
2020-03-31,out,Used as food,0.43214
2020-04-01,in,Local supermarkets,0.46556000000000006
2020-04-01,in,Other,0.0588
2020-04-01,out,Used as food,0.52086000000000006
2020-04-01,out,Used by individuals for compost,0.0035
2020-04-02,in,Local supermarkets,0.0923
2020-04-02,out,Used as food,0.08655
2020-04-02,out,Used by individuals for compost,0.00575
2020-04-03,in,Local supermarkets,0.3462
2020-04-03,in,Other,0.10960000000000001
2020-04-03,out,Used as food,0.44990000000000001
2020-04-03,out,Used by individuals for compost,0.0059
2020-04-04,in,Local supermarkets,0.1293
2020-04-04,in,Other,0.21435
2020-04-04,out,Used as food,0.32615
2020-04-04,out,Used by individuals for compost,0.0175
2020-04-05,in,Local supermarkets,0.062699999999999996
2020-04-05,in,Other,0.07485
2020-04-05,out,Used as food,0.133499999999999996
2020-04-05,out,Used by individuals for compost,0.00405
2020-04-06,in,Local supermarkets,0.1299
2020-04-06,in,Other,0.06255
2020-04-06,out,Used as food,0.18895
2020-04-06,out,Used by individuals for compost,0.0035
2020-04-07,in,Local supermarkets,0.045099999999999994
2020-04-07,in,Other,0.0197
2020-04-07,out,Used as food,0.057499999999999994
2020-04-07,out,Used by individuals for compost,0.0073
2020-04-08,in,Local supermarkets,0.064
2020-04-08,in,Other,0.0271
2020-04-08,out,Used as food,0.08815
2020-04-08,out,Used by individuals for compost,0.00295
2020-04-09,in,Local supermarkets,0.114
2020-04-09,in,Other,0.102
2020-04-09,out,Used as food,0.216
2020-04-10,in,Local supermarkets,0.10210000000000001
2020-04-10,in,Other,0.109
2020-04-10,out,Used as food,0.17060000000000001
2020-04-10,out,Used by individuals for compost,0.0405
2020-04-11,in,Local supermarkets,0.09969999999999999
2020-04-11,in,Other,0.10715
2020-04-11,out,Used as food,0.14924999999999999
2020-04-11,out,Used by individuals for compost,0.0576
2020-04-12,in,Local supermarkets,0.14839999999999998
2020-04-12,in,Other,0.127
2020-04-12,out,Used as food,0.25059999999999998
2020-04-12,out,Used by individuals for compost,0.0248
2020-04-13,in,Local supermarkets,0.072
2020-04-13,in,Other,0.0583
2020-04-13,out,Used as food,0.1036
2020-04-13,out,Used by individuals for compost,0.0267
2020-04-14,in,Local supermarkets,0.1345
2020-04-14,in,Other,0.0765
2020-04-14,out,Used as food,0.2104
2020-04-14,out,Used by individuals for compost,0.0006
2020-04-15,in,Local supermarkets,0.0623
2020-04-15,in,Other,0.0523
2020-04-15,out,Used as food,0.1128
2020-04-15,out,Used by individuals for compost,0.0018
2020-04-16,in,Local supermarkets,0.0965
2020-04-16,in,Other,0.0775
2020-04-16,out,Used as food,0.1550
2020-04-16,out,Used by individuals for compost,0.019
2020-04-17,in,Local supermarkets,0.0566
2020-04-17,in,Other,0.0609
2020-04-17,out,Used as food,0.1133
2020-04-17,out,Used by individuals for compost,0.0042
2020-04-18,in,Local supermarkets,0.0622
2020-04-18,in,Other,0.0965
2020-04-18,out,Used as food,0.1459
2020-04-18,out,Used by individuals for compost,0.0128
2020-04-19,in,Local supermarkets,0.133
2020-04-19,in,Other,0.0298
2020-04-19,out,Used as food,0.1613
2020-04-19,out,Used by individuals for compost,0.0015
2020-04-20,in,Local supermarkets,0.15610000000000002
2020-04-20,in,Other,0.093445
2020-04-20,out,Used as food,0.24954500000000002
2020-04-21,in,Local supermarkets,0.08660000000000001
2020-04-21,out,Used as food,0.08660000000000001
2020-04-22,in,Local supermarkets,0.0581
2020-04-22,in,Other,0.0029
2020-04-22,out,Used as food,0.0524
2020-04-22,out,Used by individuals for compost,0.0086
2020-04-23,in,Local supermarkets,0.1349
2020-04-23,in,Other,0.0474
2020-04-23,out,Used as food,0.1823
2020-04-24,in,Local supermarkets,0.0927
2020-04-24,in,Other,0.0069
2020-04-24,out,Used as food,0.0996
2020-04-25,in,Local supermarkets,0.0737
2020-04-25,in,Other,0.11094999999999999
2020-04-25,out,Used as food,0.18464999999999999
2020-04-26,in,Local supermarkets,0.08030000000000001
2020-04-26,in,Other,0.0077
2020-04-26,out,Used as food,0.08800000000000001
2020-04-27,in,Local supermarkets,0.10360000000000001
2020-04-27,in,Other,0.0273
2020-04-27,out,Used as food,0.13090000000000001
2020-04-28,in,Local supermarkets,0.1327
2020-04-28,in,Other,0.0048
2020-04-28,out,Used as food,0.1375
2020-04-29,in,Local supermarkets,0.1201
2020-04-29,in,Other,0.0362
2020-04-29,out,Used as food,0.1563
2020-04-30,in,Local supermarkets,0.0911
2020-04-30,in,Other,0.12380000000000001
2020-04-30,out,Used as food,0.21490000000000001
2020-05-01,in,Local supermarkets,0.1476
2020-05-01,in,Other,0.04115
2020-05-01,out,Used as food,0.18875
2020-05-02,in,Local supermarkets,0.0803
2020-05-02,in,Other,0.11789999999999999
2020-05-02,out,Used as food,0.19819999999999999
2020-05-03,in,Local supermarkets,0.0639
2020-05-03,in,Other,0.07055
2020-05-03,out,Used as food,0.13445
2020-05-04,in,Local supermarkets,0.0914
2020-05-04,in,Other,0.0381
2020-05-04,out,Used as food,0.1295
2020-05-05,in,Local supermarkets,0.0654
2020-05-05,in,Other,0.0392
2020-05-05,out,Used as food,0.1046
2020-05-06,in,Local supermarkets,0.0981
2020-05-06,in,Other,0.0343
2020-05-06,out,Used as food,0.1210
2020-05-06,out,Used by individuals for compost,0.0114
2020-05-07,in,Local supermarkets,0.1071
2020-05-07,in,Other,0.0789
2020-05-07,out,Used as food,0.1860
2020-05-08,in,Local supermarkets,0.10969999999999999
2020-05-08,in,Other,0.0921
2020-05-08,out,Used as food,0.20179999999999999
2020-05-09,in,Local supermarkets,0.0784
2020-05-09,in,Other,0.0378
2020-05-09,out,Used as food,0.1162
2020-05-10,in,Local supermarkets,0.0641
2020-05-10,in,Other,0.05195
2020-05-10,out,Used as food,0.11605
2020-05-11,in,Local supermarkets,0.0981
2020-05-11,in,Other,0.0372
2020-05-11,out,Used as food,0.1353
2020-05-12,in,Local supermarkets,0.0721
2020-05-12,in,Other,0.02515
2020-05-12,out,Used as food,0.09725
2020-05-13,in,Local supermarkets,0.1077
2020-05-13,in,Other,0.0369
2020-05-13,out,Used as food,0.0938
2020-05-13,out,Used by individuals for compost,0.0254
2020-05-13,out,Donated to animal sanctuary,0.0254
2020-05-14,in,Local supermarkets,0.1308
2020-05-14,in,Other,0.0253
2020-05-14,out,Used as food,0.1561
2020-05-15,in,Local supermarkets,0.11030000000000001
2020-05-15,in,Other,0.0863
2020-05-15,out,Used as food,0.19660000000000001
2020-05-16,in,Local supermarkets,0.2364
2020-05-16,in,Other,0.0426
2020-05-16,out,Used as food,0.2790
2020-05-17,in,Local supermarkets,0.052599999999999994
2020-05-17,in,Other,0.0897
2020-05-17,out,Used as food,0.142299999999999994
2020-05-18,in,Local supermarkets,0.0704
2020-05-18,in,Other,0.1019
2020-05-18,out,Used as food,0.1723
2020-05-19,in,Local supermarkets,0.0635
2020-05-19,out,Used as food,0.0635
2020-05-20,in,Local supermarkets,0.0804
2020-05-20,out,Used as food,0.0804
2020-05-21,in,Local supermarkets,0.09118
2020-05-21,in,Other,0.0316
2020-05-21,out,Used as food,0.12278
2020-05-22,in,Local supermarkets,0.1225
2020-05-22,in,Other,0.0728
2020-05-22,out,Used as food,0.1299
2020-05-22,out,"Council compost, Energen biogas, etc.",0.0654
2020-05-23,in,Local supermarkets,0.049
2020-05-23,in,Other,0.0582
2020-05-23,out,Used as food,0.1072
2020-05-24,in,Local supermarkets,0.06580000000000001
2020-05-24,in,Other,0.12
2020-05-24,out,Used as food,0.17110000000000001
2020-05-24,out,Used by individuals for compost,0.0147
2020-05-25,in,Local supermarkets,0.0413
2020-05-25,in,Other,0.1086
2020-05-25,out,Used as food,0.0931
2020-05-25,out,Used by individuals for compost,0.0568
2020-05-26,in,Local supermarkets,0.0911
2020-05-26,in,Other,0.1028
2020-05-26,out,Used as food,0.16725
2020-05-26,out,Used by individuals for compost,0.02665
2020-05-27,in,Local supermarkets,0.076
2020-05-27,in,Other,0.048
2020-05-27,out,Used as food,0.124
2020-05-28,in,Local supermarkets,0.0592
2020-05-28,out,Used as food,-0.0850
2020-05-28,out,"Council compost, Energen biogas, etc.",0.1442
2020-05-29,in,Local supermarkets,0.0633
2020-05-29,in,Other,0.034
2020-05-29,out,Used as food,0.0973
2020-05-30,in,Local supermarkets,0.0868
2020-05-30,in,Other,0.01684
2020-05-30,out,Used as food,0.10364
2020-05-31,in,Local supermarkets,0.0702
2020-05-31,out,Used as food,0.0702
2020-06-01,in,Local supermarkets,0.0636
2020-06-01,in,Other,0.24925
2020-06-01,out,Used as food,0.31285
2020-06-02,in,Local supermarkets,0.122
2020-06-02,in,Other,0.377
2020-06-02,out,Used as food,0.499
2020-06-03,in,Local supermarkets,0.0542
2020-06-03,in,Other,0.2148
2020-06-03,out,Used as food,0.1680
2020-06-03,out,Used by individuals for compost,0.101
2020-06-04,in,Local supermarkets,0.0976
2020-06-04,in,Other,0.1713
2020-06-04,out,Used as food,0.2379
2020-06-04,out,Used by individuals for compost,0.031
2020-06-05,in,Local supermarkets,0.0366
2020-06-05,in,Other,0.07691
2020-06-05,out,Used as food,0.11351
2020-06-06,in,Local supermarkets,0.0807
2020-06-06,in,Other,0.1872
2020-06-06,out,Used as food,0.2679
2020-06-07,in,Local supermarkets,0.0908
2020-06-07,in,Other,0.0311
2020-06-07,out,Used as food,0.1219
2020-06-08,in,Local supermarkets,0.15
2020-06-08,out,Used as food,0.15
2020-06-09,in,Local supermarkets,0.2555
2020-06-09,in,Donated as waste,2.0
2020-06-09,out,Used as food,2.2555
2020-06-10,in,Local supermarkets,0.1487
2020-06-10,in,Fareshare,0.143
2020-06-10,in,Other,0.18
2020-06-10,out,Used as food,0.4669
2020-06-10,out,Used by individuals for compost,0.0048
2020-06-11,in,Local supermarkets,0.0973
2020-06-11,in,Other,0.0471
2020-06-11,out,Used as food,0.1444
2020-06-12,in,Local supermarkets,0.0649
2020-06-12,in,Other,0.03165
