region,year,site-name,permit,status,latitude,longitude,operator,activities,accepts,tonnes-input,tonnes-treated-recovered,tonnes-output
North Lanarkshire,2019,Bellshill H/care Waste Treatment & Transfer,PPC/A/1180708,Not applicable,55.824871489601804,-4.035165962797409,TRADEBE UK,Other treatment,Other special,154.55,133.04,152.8
Scottish Borders,2019,Easter Langlee Waste Transfer Station,WML/L/1179331,Not applicable,55.615852142864,-2.7623265905831915,SCOTTISH BORDERS COUNCIL,Transfer station,Commercial / Household / Industrial,13542.2,0,13115.91
Aberdeenshire,2019,"Unit 1, Toux Farm, Mintlaw, Peterhead",WML/L/1184315,Not applicable,57.542102518130996,-2.0245756379489515,OLEGS VERJOVKINS,Metal recycler,Industrial,15.35,15.35,12.54
Dumfries and Galloway,2019,Crofthead Anaerobic Digestion Facility,PPC/A/1180559,Not applicable,54.99882072576984,-3.836696600900177,CROFTHEAD BIOGAS LIMITED,Anaerobic digestion,Commercial,5814,5814,0
Moray,2019,"North East Incineration Services, Douglasbrae",PPC/A/1004263,Not applicable,57.52746969538323,-2.9819840706154785,NORTH EAST INCINERATION SERVICES,Incineration,Commercial,0,0,0
Dumfries and Galloway,2019,"Clayshant Landfill, Sandhead",WML/W/0000251,Not operational,54.8342069294765,-4.943176958863761,BARR LTD,Landfill (not operational),Commercial / Industrial,0,0,0
Midlothian,2019,"Tartan Waste, Eldin Ind Est, Loanhead",WML/E/0020179,Not operational,55.88805322077569,-3.144844455905414,CALEDONIAN INDUSTRIAL LIMITED,Transfer station,Commercial / Household / Industrial,0,0,0
Dumfries and Galloway,2019,"Harelawhill Landfill, Canonbie",WML/W/0000279,Not operational,55.09844595074819,-2.8980523668449787,BUCCLEUCH ESTATES LTD,Landfill (not operational),Commercial,0,0,0
Fife,2019,"Mitie, Cardenden Heat & Power, Fife",PPC/A/1098992,Not operational,56.14203519800937,-3.279556381870246,UTILYX  ASSET MANAGEMENT LIMITED,Co-incineration,Commercial / Industrial,0,0,0
Aberdeenshire,2019,Pitdrichie Landfill,WML/N/0020021,Not operational,56.928071888148914,-2.3308303788746616,ABERDEENSHIRE COUNCIL,Landfill (not operational),Commercial / Household / Industrial,0,0,0
