dataset,description,number of records,creator of source data,creation date of source data,supplier of source data,supply URL of source data,licence of source data,licence URL of source data,sourcing notes
household-waste,The categorised quantities of the ('managed') waste generated by households.,19008,SEPA,2020,statistics.gov.scot,http://statistics.gov.scot/data/household-waste,OGL v3.0,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Published as an RDF data cube, the data can be accessed via SPARQL."
household-co2e,The carbon impact of the waste generated by households.,288,SEPA,2020,SEPA,https://www.environment.gov.scot/data/data-analysis/household-waste,OGL v2.0,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,"Published through a web-based data tool, the data can be downloaded as a CSV file."
business-waste-by-region,The categorised quantities of the waste generated by industry & commerce.,8976,SEPA,2020,SEPA,https://www.sepa.org.uk/environment/waste/waste-data/waste-data-reporting/business-waste-data,OGL v2.0,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Published as a series of downloadable Excel files.
business-waste-by-sector,The categorised quantities of the waste generated by industry & commerce.,2640,SEPA,2020,SEPA,https://www.sepa.org.uk/environment/waste/waste-data/waste-data-reporting/business-waste-data,OGL v2.0,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Published as a series of downloadable Excel files.
waste-site,"The locations, services & capacities of waste sites.",1254,SEPA,2020,SEPA,https://www.sepa.org.uk/data-visualisation/waste-sites-and-capacity-tool,OGL v2.0,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,"Published through a web-based data tool, the data can be downloaded as a CSV file."
waste-site-io,The categorised quantities of waste going in and out of waste sites.,2667914,SEPA,2020,SEPA,https://www.sepa.org.uk/data-visualisation/waste-sites-and-capacity-tool,OGL v2.0,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,"Published through a web-based data tool, the data can be downloaded as a CSV file."
material-coding,A mapping between the EWC codes and SEPA's materials classification (as used in these datasets).,557,SEPA,2020,SEPA,https://www.sepa.org.uk/data-visualisation/waste-sites-and-capacity-tool,OGL v2.0,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,"Published through a web-based data tool, the data can be downloaded as CSV files."
ewc-coding,EWC (European Waste Classification) codes and descriptions.,973,European Commission of the EU,2000,Publications Office of the EU,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:02000D0532-20150601&from=EN#tocId7,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Published as a web page.
households,Occupied residential dwelling counts. Useful for calculating per-household amounts.,288,NRS,2020,statistics.gov.scot,http://statistics.gov.scot/data/household-estimates,OGL v3.0,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Published as an RDF data cube, the data can be accessed via SPARQL."
population,People counts. Useful for calculating per-citizen amounts.,288,NRS,2020,statistics.gov.scot,http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries,OGL v3.0,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,"Published as an RDF data cube, the data can be accessed via SPARQL."
